ID,B,Br_1,Br_1,C_1,C_2,C_3,C_4,Cl_1,Cl_2,Cl_3,F_1,F_2,H_1,H_2,I_1,I_2,I_3,N_1,N_2,N_3,N_4,O_1,O_2,O_3,P_1,P_2,P_3,S_1,S_2,S_3,S_4,Si_1,Si_2
gmof_AlO6-mof177-N_No27,0,0,0,0,2.325,0.465,0.93,0,0,0,0,0,62.67,20.89,0,0,0,0,0,0,0,0,435.52,0,0,0,0,0,0,0,0,0,0
TOXYEM_FSR,0,0,0,0,116.108,33.174,66.348,0,0,0,0,0,247.934,55.096,0,0,0,0,0,4.23,0,0,325.53,0,0,0,0,0,0,0,0,0,0
ZOMNUM_FSR,0,0,0,0,294.914,221.186,0,0,0,0,0,0,199.778,24.972,0,0,0,0,0,0,0,23.26,23.26,0,0,0,0,0,0,0,0,0,0
LIWCEB_FSR,0,0,0,0,33.536,14.373,4.791,0,88.8,0,0,0,151.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-ADC_B-BDC_B_No496,0,0,0,44.552,89.104,44.552,44.552,0,0,0,0,0,375.92,46.99,0,0,0,0,0,0,0,5.528,22.112,0,0,0,0,0,0,0,0,0,0
CECVOX_FSR,0,0,0,0,128.904,114.581,28.645,75.01,0,0,0,0,208.791,27.839,0,0,0,0,5.44,0,0,0,186.16,0,0,0,0,0,0,0,0,0,0
ARICOT_FSR,0,0,0,0,54.846,31.341,11.753,0,0,0,0,0,134.555,9.845,0,0,0,0,0,0,0,0,64.54,0,0,0,0,0,0,0,0,0,0
LOZJER_FSR,0,0,0,0,178.043,35.609,35.609,0,0,0,0,0,190.328,63.443,0,0,0,0,0,0,0,17.17,120.19,103.02,0,0,0,0,0,0,0,0,0
core_WAVQUH_freeONLY,0,0,0,0,303.525,182.115,121.41,0,0,0,0,0,453.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JEJZAC_FSR,0,0,0,0,39.874,13.291,7.975,0,0,0,0,0,135.741,9.049,0,0,0,0,0,0,0,0,1.98,0.66,0,0,0,0,0,0,0,0,0
DAWCOV_FSR,0,0,0,0,357.404,67.013,67.013,0,0,0,0,0,407.81,62.74,0,0,0,0,0,0,0,0,116.34,0,0,0,0,0,0,0,0,0,0
SAMLAV02_FSR,0,0,0,0,180.35,180.35,72.14,0,0,0,0,0,301.4,0,0,0,0,0,0,0,0,0,289.9,144.95,0,0,0,0,0,0,0,0,0
QEDZEG_FSR,0,0,0,0,138.917,50.515,25.258,0,0,0,0,0,143.29,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0
MOF-5_cooh_2_530_2,0,0,0,0,248.837,177.741,142.192,0,0,0,0,0,294.759,263.731,0,0,0,0,26.3,0,0,58.06,696.72,0,0,0,0,0,0,0,0,0,0
EMAXOH_FSR,0,0,0,29.401,245.006,78.402,29.401,0,0,0,0,0,394.99,0,0,0,0,0,0,5.26,0,0,9.811,3.679,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o5_o24_pcu_sym_92,0,0,0,0,144.895,72.448,72.448,0,0,0,0,0,205.17,0,0,0,0,0,162.56,162.56,0,0,321.79,0,0,0,0,0,0,0,0,0,0
SASVOA_FSR,0,0,0,23.903,11.952,23.903,11.952,168.9,0,0,0,0,95.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core_HOVQAM_freeONLY,0,0,0,0,1486.486,594.594,0,0,0,0,0,0,2275.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gmof_Zn2O8N2-irmof14_A-irmof7_A_No378,0,0,0,52.023,190.751,254.334,46.243,0,0,0,0,0,424.291,42.429,0,0,0,0,1.41,0,0,0,688.03,0,0,0,0,0,0,0,5.14,0,0
QESYOD_FSR,0,0,0,36.465,54.698,54.698,0,0,0,0,0,0,155.15,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEGMIY_FSR,0,0,0,0,106.371,106.371,23.638,0,0,0,0,0,357.82,0,0,0,0,0,115.294,0,19.216,0,0,0,0,0,0,0,0,0,0,0,0
IQEKUM_FSR,0,0,0,0,78.392,89.591,33.597,0,0,0,0,0,21.803,1.677,0,0,0,0,8.345,1.855,0,0,137.709,22.951,0,0,0,0,0,0,0,0,0
FODCOS_FSR,0,0,0,0,30.325,24.811,5.514,0,0,0,0,0,179.68,0,0,0,0,0,0,0,0,0,49.42,0,0,0,0,0,0,0,0,0,0
core_GUXPOF_freeONLY,0,0,0,33.736,78.717,56.226,22.491,0,0,0,0,0,240.367,15.023,0,0,0,0,0,0,0,0,155.82,0,0,0,0,0,4.91,0,0,0,0
tobacco_SR_bcu_v1-8c_Hf_1_Ch_1TrU_Ch_2x2x3,0,0,0,0,130.435,0,130.435,0,0,0,0,0,0,262.33,0,0,0,0,0,0,0,94.264,157.106,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof20_B-irmof7_B_No305,0,0,0,0,104.505,62.703,41.802,0,0,0,0,24.11,108.827,54.413,0,0,0,0,0,0,0,39.26,157.04,78.52,0,0,0,0,54.84,0,0,0,0
TONBII_FSR,0,0,0,0,31.02,7.755,7.755,0,0,0,0,0,100.49,0,0,0,0,0,0,0,0,0,89.01,0,0,0,0,0,0,0,0,0,0
XIFHIF_FSR,0,0,0,0,74.271,59.417,44.562,0,0,0,0,0,215.82,0,0,0,0,0,0,0,0,0,33.402,7.158,0,0,0,0,0,0,0,0,0
YUYBIF_FSR,0,0,0,0,38.812,14.555,9.703,0,0,0,0,0,151.56,0,0,0,0,0,0,0,0,0,43.36,0,0,0,0,0,113.5,0,0,0,0
PIHREF_FSR,0,0,0,0,189.004,283.505,47.251,0,0,0,0,0,92.225,20.495,0,0,0,0.215,0.215,0,0,0,41.59,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o1_o18_pcu_sym_148,0,0,0,0,162.934,232.763,46.553,0,0,0,0,255.01,31.21,0,0,0,0,0,442.28,0,0,0,33.41,0,0,0,0,0,0,0,0,0,0
XOKQUL_FSR,0,0,0,0,439.83,234.576,58.644,0,0,0,0,0,366.7,0,0,0,0,0,0,8.1,0,0,114.44,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m5_Al_o5_o11_sra_sym_47,0,0,0,0,364.009,145.604,291.207,0,0,0,0,0,360.263,120.088,0,0,0,0,0,0,0,21.826,87.304,0,0,0,0,0,0,0,0,0,0
CUQRIR_FSR,0,0,0,108.753,326.26,81.565,135.942,0,0,0,0,0,414.98,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0
EYOJOT_FSR,0,0,0,0,546.466,136.616,91.078,0,0,0,0,0,771.42,0,0,0,0,0,0,11.31,0,6.682,80.183,20.046,0,0,0,362.42,0,0,0,0,0
VAZROF_FSR,0,0,0,0,196.882,131.255,32.814,0,0,0,0,0,129.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAFBUL_FSR,0,0,0,0,8.566,17.132,17.132,0,0,0,0,0,316.26,0,0,0,0,0,25.95,0,0,0,49.63,0,0,0,0,0,0,0,0,0,0
tobacco_SR_bcu_v1-8c_Zr_1_Ch_1TrU_Ch_2x2x3,0,0,0,0,186.39,0,186.39,0,0,0,0,0,0,386.69,0,0,0,0,0,0,0,157.373,202.337,0,0,0,0,0,0,0,0,0,0
ZOMNEW_FSR,0,0,0,0,290.166,217.624,0,0,0,0,0,0,191.52,23.94,0,0,0,0,0,0,0,62.86,0,0,0,0,0,0,0,0,0,0,0
GUQWOG_FSR,0,0,0,0,548.99,411.742,91.498,0,0,0,0,0,656.719,43.781,0,0,0,0,1.03,0,0,0,33.856,8.464,0,0,0,0,0,0,0,0,0
EYIYES_FSR,0,0,0,0,182.134,43.963,37.683,0,0,0,0,0,297.37,0,0,0,0,0,0,8.96,0,0,2.57,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m5_Al_o10_o29_sra_sym_51,0,0,0,0,151.956,50.652,40.522,0,0,0,0,0,126.647,8.443,0,0,0,0,0,0,0,8.572,51.435,8.572,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o1_o4_pcu_sym_157,0,0,191.8,0,129.827,155.792,51.931,0,0,0,0,0,84.91,0,0,0,0,0,0,0,0,0,187.407,93.703,0,0,0,0,0,0,0,0,0
TOLGIL_FSR,0,0,0,41.703,72.98,104.257,0,0,0,0,0,0,156.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core_OJIWAG_freeONLY,0,0,0,0,155.646,51.882,51.882,0,0,0,0,0,259.19,0,0,0,0,0,1.05,0,0,0,187.48,0,0,0,0,0,0,0,0,0,0
UQENAH_FSR,0,0,0,0,357.666,169.421,56.474,0,0,0,0,0,240.29,0,0,0,0,0,4.847,2.423,0,0,53.94,0,0,0,0,0,0,0,0,0,0
gmof_Zn4O13-BDC_A-NiC4_No13,0,0,0,0,72.005,0,72.005,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,37.408,1346.672,0,0,0,0,0,0,0,0,0,0
NEGKIW_FSR,0,0,0,0,103.059,103.059,22.902,0,0,0,0,0,339.86,0,0,0,0,0,121.277,0,20.213,0,0,0,0,0,0,0,0,0,0,0,0
DEYVUA_FSR,0,0,0,0,704.265,402.437,201.218,0,0,0,0,0,421.72,0,0,0,0,0,0,0,0,0,56.05,0,0,0,0,0,0,0,0,0,0
KALFIO_FSR,0,0,0,0,421.68,210.84,70.28,0,0,0,0,0,487.676,34.834,0,0,0,0,0,0,0,0,32.47,0,0,0,0,0,0,0,0,0,0
core_HOBGEL_freeONLY,0,0,0,0,139.653,239.405,79.802,0,0,0,0,0,136.057,32.013,0,0,0,15.392,23.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core_SAMLAV_manual,0,0,0,0,132.888,132.888,53.155,0,0,0,0,0,281.23,0,0,0,0,0,9.713,0,4.857,0,271.24,135.62,0,0,0,0,0,0,0,0,0
core_QIWPET_freeONLY,0,0,0,0,39.69,0,26.46,0,0,0,0,0,32.523,81.307,0,0,0,0,0,0,0,37.406,374.064,0,0,0,0,0,0,0,0,0,0
KUXSIH01_FSR,0,0,0,0,786.903,393.451,196.726,0,0,0,0,0,595.79,0,0,0,0,0,108.01,0,0,0.101,1.209,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof7_B-irmof8_B_No29,0,0,0,0,231.58,57.895,57.895,0,0,0,0,0,122.671,49.069,0,0,0,0,0,0,0,32.591,228.139,0,0,0,0,0,0,0,0.6,0,0
gmof_Uio66Zr-irmof20_A-irmof8_A_No120,0,0,0,0,274.944,117.833,117.833,0,218.42,0,0,0,94.595,84.085,0,0,0,46.31,0,0,0,0.04,0.12,0,0,0,0,0,389.39,0,0,0,0
core_OTAVAH_freeONLY,0,0,0,0,149.8,14.98,14.98,0,0,0,0,0,488.209,108.491,0,0,0,0,0,0,0,2.86,8.58,0,0,0,0,0,0,0,0,0,0
DAFZAO_FSR,0,0,0,0,769.171,384.586,192.293,0,0,0,0,0,622.49,0,0,0,0,0,99.65,0,0,0.027,0.323,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-fum_B-irmof10_B_No96,0,0,0,0,515.522,206.209,206.209,0,0,0,0,0,153.505,153.505,0,0,0,0,0,0,0,59.48,297.4,59.48,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o22_o22_pcu_sym_48,0,0,0,0,121.873,36.562,24.375,0,0,0,0,0,466.04,0,0,0,0,0,0,0,0,0,6.407,3.203,0,0,0,0,0,0,0,0,0
gmof_Al2O6-BDC_B-irmof7_B_No2,0,0,0,27.785,361.208,83.356,111.141,0,0,0,0,0,342.249,57.041,0,0,0,0,0,0,0,3.456,13.824,0,0,0,0,0,0,0,0,0,0
HOMTIM_FSR,0,0,0,0,212.833,70.944,35.472,0,0,0,0,0,186.464,53.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINSUG_FSR,0,0,0,0,119.049,27.473,45.788,0,0,0,0,0,98.862,12.358,0,0,0,0,0,0,0,0,29.72,0,0,0,0,0,0,0,0,0,0
QUZVEO_FSR,0,0,0,0,84.725,67.78,50.835,0,0,0,0,0,211.31,0,0,0,0,0,0,0,0,0,35.239,7.551,0,0,0,0,0,0,0,0,0
gmof_AlO6-mof177-N_No9,0,0,0,0,4.006,0.801,2.403,0,0,0,0,0,9.995,9.995,0,0,0,0,0,0,0,0,237.53,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m5_Al_o1_o4_sra_sym_103,0,0,0,0,137.839,53.937,47.944,0,0,0,0,0,260.276,34.704,0,0,0,0,0,0,0,8.426,33.705,12.639,0,0,0,0,0,0,0,0,0
MEWWET_FSR,0,0,0,0,170.995,113.997,56.998,0,0,0,0,0,11.152,3.717,0,0,0,0,12.16,0,0,0,331.38,0,0,0,0,0,0,0,0,0,0
KEHGIO_FSR,0,0,0,6.26,12.52,12.52,9.39,0,0,0,0,0,510.452,42.538,0,0,0,0,0,0,0,0,33.51,0,0,0,0,0,0,0,0,0,0
core_ILIFUE_freeONLY,0,0,0,0,0,112.76,56.38,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,142.395,47.465,0,0,0,0,0,0,0,0,0
TOYHIB_FSR,0,0,0,0,382.16,127.387,63.693,0,0,0,0,0,373.025,74.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFODAP_FSR,0,0,0,0,210.899,65.906,52.725,0,0,0,0,0,487.66,0,0,0,0,0,14.416,21.624,0,0,143.65,0,0,0,0,0,0,0,0,0,0
core_SEFSOM_freeONLY,0,0,0,0,180.895,55.66,13.915,0,0,0,0,0,219.95,0,0,0,0,0,2.875,2.875,0,0,58,0,0,0,0,0,0,0,0,0,0
VEXPAS_FSR,0,0,0,43.314,194.914,173.257,43.314,0,0,0,0,0,408.81,0,0,0,0,0,32.92,0,0,0,31.45,0,0,0,0,0,143.74,0,0,0,0
core_CUVXAT_freeONLY,0,0,0,0,281.736,112.694,75.13,0,0,0,0,268.09,452.71,0,0,0,0,0,0,0,0,0,63.82,0,0,0,0,0,0,0,0,0,0
